name                                                                                             ,category ,location                  ,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,visitors ,image ,latitude ,longitude
Gedung Juang 45                                                                                  ,Bangunan ,Kota Serang               ,Sebuah peristiwa penting pernah terjadi di gedung ini yang terjadi pada 1- Oktober 1945. Para pemuda berhasil menduduki dan mengambil alih bangunan yang pada waktu itu dijadikan markas tentara Kempeitai (Polisi Militer) Jepang untuk dijadikan markas Badan Keamanan Rakyat.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,       0 ,      ,-611.808 ,  106.151
Stasiun Kereta Api Serang                                                                        ,Bangunan ,Kota Serang               ,Stasiun Kereta Api Serang diperkirakan dibangun bersamaan dengan stasiun Kereta Api Cilegon pada tahun 1896. Bangunan ini pernah dijadikan sebagai datum point untuk pemetaan nasional.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,       0 ,      ,-611.233 ,  106.159
Menara Air                                                                                       ,Bangunan ,Kab. Pandeglang           ,Didirikan pada tahun 1884. Dahulu berfungsi sebagai tempat menampung air. Pada saat ini walaupun kondisi bangunan masih utuh tetapi tidak difungsikan lagi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,       0 ,      ,-630.962 ,  106.104
Kantor Yayasan Maulana Hasanuddin Cilegon                                                        ,Bangunan ,Kota Cilegon              ,Merupakan rumah kediaman pribadi seorang saudagar pribumi pada masa kolonial Belanda. Pemilik rumah yang saat ini merupakan keturunan II (cucu) dari pemilik I. Sepanjang tahun 1974-1994 bangunan ini tidak dihuni. Sejak tahun 1994 sampai sekarang digunakan sebagai kantor Yayasan Maulana Hasanuddin Cilegon.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,       0 ,      ,-602.298 ,  106.049
Kantor Bupati DATI II Serang                                                                     ,Bangunan ,Kota Serang               ,Bangunan ini didirikan seiring dengan pemindahan kota dari Banten Lama ke Serang pada tahun 18---an. Sejak awal dibangun sampai sekarang telah difungsikan sebagai kantor Bupati Serang. Pada bagian depan bangunan terdapat pendopo yang ditopang dengan pilar-pilar bulat.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,       0 ,      ,-611.561 ,  106.152
Masjid Jamik Bengkulu                                                                            ,Bangunan ,Kota Bengkulu             ,Berdasarkan pada data sejarah bangunan masjid dirancang oleh Bung Karno semasa pengasingan di Bengkulu tahun 1938-1942. Maksud pendiriannya adalah bahwa mashid dapat dijadikan tempat bersosialisasi dengan masyarakat Bengkulu khususnya umat Islam. Perubahan terlihat nyata setelah upaya Bung Karno mengubah kebiasaan menjadikan masyarakat Bengkulu sangat kuat dalam pembauran antara ulama dan rakyat.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,       0 ,      ,-378.986 ,  102.262
Makam Sentot Alibasyah                                                                           ,Struktur ,Kota Bengkulu             ,Makam Sentot Alibasyah berada di pemakaman umum yang biasa digunakan oleh masyarakat sekitar. Makam Sentot Alibasyah dibangun secara istimewa disebabkan beliau termasuk tokoh yang disegani oleh masyarakat Bengkulu. Berdasarkan catatan sejarah Sentot Alibasyah diasingkan oleh Belanda di Bengkulu dari Pulau Jawa pada tahun 1833 sampai meninggal pada tahun 1855.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,       0 ,      ,-378.902 ,  102.263
Situs Taman Sari                                                                                 ,Situs    ,Kota Yogyakarta           ,Tempat Pemandian Para Puteri-Puteri Keluarga Sultan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,       0 ,      ,-780.972 ,  110.359
Gedung Boedi Oetomo                                                                              ,Bangunan ,Kota Yogyakarta           ,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       0 ,      ,-777.722 ,  110.368
Bangunan/gedung dengan halaman dan lingkungan bekas Kantor Pengurus Ikatan Pelajar Indonesia     ,Bangunan ,Kota Yogyakarta           ,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       0 ,      ,-778.261 ,  110.364
Bangunan/gedung dengan halaman dan lingkungan bekas Markas Tentara Pelajar Pusat                 ,Bangunan ,Kota Yogyakarta           ,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       0 ,      ,-778.043 ,  110.365
Bangunan/gedung dengan halaman dan lingkungan bekas Markas Batalyon 300 Tentara Pelajar          ,Bangunan ,Kota Yogyakarta           ,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       0 ,      ,-777.944 ,  110.36
Gedung Bank BNI 46                                                                               ,Bangunan ,Kota Yogyakarta           ,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       0 ,      ,-780.139 ,  110.364
Gedung SMP Negeri 6                                                                              ,Bangunan ,Kota Yogyakarta           ,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       0 ,      ,-777.833 ,  110.367
Gedung Kantor Pos Besar                                                                          ,Bangunan ,Kota Yogyakarta           ,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       0 ,      ,-780.167 ,  110.365
Klenteng Poncowinatan (Kranggan)                                                                 ,Bangunan ,Kota Yogyakarta           ,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       0 ,      ,-778.192 ,  110.366
Gedung Bank Indonesia                                                                            ,Bangunan ,Kota Yogyakarta           ,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       0 ,      ,-780.167 ,  110.366
Puro Pakualaman                                                                                  ,Bangunan ,Kota Yogyakarta           ,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       0 ,      ,-779.944 ,  110.376
Ndalem Tejokusuman                                                                               ,Bangunan ,Kota Yogyakarta           ,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       0 ,      ,-780.817 ,  110.356
Kantor Dinas Pariwisata Seni dan Budaya Kota Yogyakarta                                          ,Bangunan ,Kota Yogyakarta           ,Keberadaan bangunan ini dikaitkan dengan rute Gerilya Jenderal Sudirman yang merupakan rute terakhir setelah 7 bulan bergerilya. Sebelumnya merupakan tempat tinggal Jenderal Urip Sumoharjo.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,       0 ,      ,-778.361 ,  110.374
Candi Sari                                                                                       ,Bangunan ,Kab. Sleman               ,Candi ini dibangun kurang lebih abad IX berlatar keagamaan Budha. Bentuk bangunan Candi dapat dibandingkan dengan Candi Budha Plaosan. Diperkirakan sebuah wihara tempat bersemedi para pendeta.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,       0 ,      ,-776.139 ,  110.474
Kelenteng/Vihara Buddha Prabha Gondomanan                                                        ,Bangunan ,Kota Yogyakarta           ,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       0 ,      ,-78.018  ,  110.369
Gedung SMK II (STM 1 dan 2)                                                                      ,Bangunan ,Kota Yogyakarta           ,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       0 ,      ,-777.716 ,  110.367
