name,category,location,description,visitors,image,latitude,longitude
Makam Sentot Alibasyah,Struktur,"Kota Bengkulu, Prov. Bengkulu",Makam Sentot Alibasyah berada di pemakaman umum yang biasa digunakan oleh masyarakat sekitar. Makam Sentot Alibasyah dibangun secara istimewa disebabkan beliau termasuk tokoh yang disegani oleh masyarakat Bengkulu. Berdasarkan catatan sejarah Sentot Alibasyah diasingkan oleh Belanda di Bengkulu dari Pulau Jawa pada tahun 1833 sampai meninggal pada tahun 1855.;,0,,-3.78902,102.263
Situs Taman Sari,Situs,"Kota Yogyakarta, Prov. D.I. Yogyakarta",Tempat Pemandian Para Puteri-Puteri Keluarga Sultan;,0,,-7.80972,110.359
Gedung Boedi Oetomo,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.77722,110.368
Bangunan/gedung dengan halaman dan lingkungan bekas Kantor Pengurus Ikatan Pelajar Indonesia,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.78261,110.364
Bangunan/gedung dengan halaman dan lingkungan bekas Markas Tentara Pelajar Pusat,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.78043,110.365
Bangunan/gedung dengan halaman dan lingkungan bekas Markas Batalyon 300 Tentara Pelajar,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.77944,110.36
Gedung Bank BNI 46,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.80139,110.364
Gedung SMP Negeri 6,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.77833,110.367
Gedung Kantor Pos Besar,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.80167,110.365
Klenteng Poncowinatan (Kranggan),Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.78192,110.366
Gedung Bank Indonesia,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.80167,110.366
Puro Pakualaman,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.79944,110.376
Ndalem Tejokusuman,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.80817,110.356
Kantor Dinas Pariwisata Seni dan Budaya Kota Yogyakarta,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",Keberadaan bangunan ini dikaitkan dengan rute Gerilya Jenderal Sudirman yang merupakan rute terakhir setelah 7 bulan bergerilya. Sebelumnya merupakan tempat tinggal Jenderal Urip Sumoharjo.;,0,,-7.78361,110.374
Candi Sari,Bangunan,"Kab. Sleman, Prov. D.I. Yogyakarta",Candi ini dibangun kurang lebih abad IX berlatar keagamaan Budha. Bentuk bangunan Candi dapat dibandingkan dengan Candi Budha Plaosan. Diperkirakan sebuah wihara tempat bersemedi para pendeta.;,0,,-7.76139,110.474
Kelenteng/Vihara Buddha Prabha Gondomanan,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.8018,110.369
Gedung SMK II (STM 1 dan 2),Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.77716,110.367
Gedung SMP BOPKRI I Yogyakarta,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.79372,110.372
Gedung SMP Negeri 8 Yogyakarta,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.78194,110.374
Gedung Sekolah Dasar Ngupasan I dan II Yogyakarta,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.79861,110.363
Stasiun Kereta Api Tugu Yogyakarta,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.78927,110.364
Tugu Yogyakarta,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.78278,110.367
Hotel Toegoe,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",Hotel toegu;,0,,-7.78731,110.367
Rumah Sakit Mata Dr. YAP,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.7807,110.375
